Rank,MovieTitle,Year,Rating,Votes
241,Rashomon,1950.0,8.2,190133
242,Kill Bill: Vol. 1,2003.0,8.2,1254280
243,Finding Nemo,2003.0,8.2,1163484
244,Batman Begins,2005.0,8.2,1650848
245,Monty Python and the Holy Grail,1975.0,8.2,589307
246,Swades,2004.0,8.2,102083
247,All About Eve,1950.0,8.2,145259
248,Rang De Basanti,2006.0,8.1,124544
249,Yi Yi,2000.0,8.1,30632
250,Spotlight,2015.0,8.1,520275
